"番号","投与区分","厚労省コード","医薬品名","一般名","規格単位","会社名","薬価","旧薬価","先発・後発","規制区分","経過措置日","HOT番号","レセ電算コード(1)","置き換え率","一般名処方マスタ","YJコード","薬効87分類","拡張薬効分類","成分名","販売中止予定日"
"1944","外","1319720Q2071","ヒアルロン酸Na0.5眼粘弾剤1%MV「センジュ」","精製ヒアルロン酸ナトリウム液","1%0.5mL1筒","千寿=武田","3146.90","3225.30","後発品","","2027/03/31","","620217702","3","なし","1319720Q2071","感覚器官用薬－眼科用剤－その他","眼科用薬-手術補助薬","精製ヒアルロン酸ナトリウム","2025/11/03"
"1945","外","1319720Q3230","ヒアルロン酸Na点眼液0.1%「センジュ」","精製ヒアルロン酸ナトリウム液","0.1%5mL1瓶","千寿=武田","134.60","144.10","後発品","","","114673801","621467301","3","あり","1319720Q3230","感覚器官用薬－眼科用剤－その他","角膜治療薬(その他)","精製ヒアルロン酸ナトリウム","-"
"1946","外","1319720Q4031","ヒアレインミニ点眼液0.1%","精製ヒアルロン酸ナトリウム液","0.1%0.4mL1個","参天","26.50","25.20","先発品","","","102182001","620004817","","なし","1319720Q4031","感覚器官用薬－眼科用剤－その他","角膜治療薬(その他)","精製ヒアルロン酸ナトリウム","-"
"1947","外","1319720Q5038","ヒアレインミニ点眼液0.3%","精製ヒアルロン酸ナトリウム液","0.3%0.4mL1個","参天","28.90","27.20","先発品","","","102183701","620004818","","なし","1319720Q5038","感覚器官用薬－眼科用剤－その他","角膜治療薬(その他)","精製ヒアルロン酸ナトリウム","-"
"1948","外","1319720Q7111","オペガン0.6眼粘弾剤1%","精製ヒアルロン酸ナトリウム液","1%0.6mL1筒","生化学=参天","4060.40","4241.90","先発○","","","102192901","620006398","2","なし","1319720Q7111","感覚器官用薬－眼科用剤－その他","眼科用薬-手術補助薬","精製ヒアルロン酸ナトリウム","-"
"1949","外","1319720Q7227","ヒーロン眼粘弾剤1%シリンジ0.6mL","精製ヒアルロン酸ナトリウム液","1%0.6mL1筒","AMO","2617.60","2691.40","先発品","","","102188203","620218803","☆","なし","1319720Q7227","感覚器官用薬－眼科用剤－その他","眼科用薬-手術補助薬","精製ヒアルロン酸ナトリウム","-"
"1950","外","1319720Q8215","ヒーロン眼粘弾剤1%シリンジ0.85mL","精製ヒアルロン酸ナトリウム液","1%0.85mL1筒","AMO","2617.10","2674.00","先発○","","","102194303","620219403","2","なし","1319720Q8215","感覚器官用薬－眼科用剤－その他","眼科用薬-手術補助薬","精製ヒアルロン酸ナトリウム","-"
"1951","外","1319722M1056","タリビッド眼軟膏0.3%","オフロキサシン軟膏","0.3%1g","参天","113.50","113.50","先発品","処","","102198101","620004809","","なし","1319722M1056","感覚器官用薬－眼科用剤－その他","点眼剤(抗菌薬)-ニューキノロン系","オフロキサシン","-"
"1952","外","1319724Q1120","ニフラン点眼液0.1%","プラノプロフェン液","0.1%1mL","千寿=武田","25.90","28.20","先発○","","","102201801","620006466","2","あり","1319724Q1120","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(プロピオン酸系)","プラノプロフェン","-"
"1953","外","1319726Q1013","ジクロフェナクNa点眼液0.1%「日新」","ジクロフェナクナトリウム0.1%1mL点眼液","0.1%1mL","日新製薬","20.80","23.40","後発品","","","113977801","621397701","3","あり","1319726Q1188","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(フェニル酢酸系),白内障治療薬-術中術後点眼用","ジクロフェナクナトリウム","-"
"1954","外","1319726Q1102","ジクロード点眼液0.1%","ジクロフェナクナトリウム液","0.1%1mL","わかもと","34.10","42.80","先発○","","","102207001","620004805","2","あり","1319726Q1102","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(フェニル酢酸系),白内障治療薬-術中術後点眼用","ジクロフェナクナトリウム","-"
"1955","外","1319731Q2045","ビーエスエスプラス500眼灌流液0.0184%","オキシグルタチオン液","0.46%20mL1瓶(希釈液付)","アルコン","2735.20","2819.60","先発品","","","102236002","620007736","2","なし","1319731Q2045","感覚器官用薬－眼科用剤－その他","眼潅流・洗浄剤","オキシグルタチオン","-"
"1956","外","1319732Q1035","レスキュラ点眼液0.12%","イソプロピルウノプロストン液","0.12%1mL","日東メディック","170.00","186.60","先発○","","","102237703","620005312","2","あり","1319732Q1035","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(プロスタグランジン系)","イソプロピルウノプロストン","-"
"1957","外","1319736Q1076","リザベン点眼液0.5%","トラニラスト液","25mg5mL1瓶","キッセイ","252.90","306.20","先発○","","","102243801","620005309","2","あり","1319736Q1076","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(メディエーター遊離抑制薬)","トラニラスト","-"
"1958","外","1319738Q2020","トルソプト点眼液1%","ドルゾラミド塩酸塩液","1%1mL","参天","134.70","155.10","先発品","処","","102247602","660432003","1","なし","1319738Q2020","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬)","ドルゾラミド塩酸塩","-"
"1959","外","1319739Q1010","ラタノプロスト点眼液0.005%「NP」","ラタノプロスト0.005%1mL点眼液","0.005%1mL","ニプロ=わかもと","129.70","151.00","後発品","処","","120178901","622017801","3","あり","1319739Q1266","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(プロスタグランジン系)","ラタノプロスト","-"
"1960","外","1319740Q1056","ハイパジールコーワ点眼液0.25%","ニプラジロール液","0.25%1mL","興和","149.00","181.70","先発○","","","102250603","620003864","2","あり","1319740Q1056","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬)","ニプラジロール","-"
"1961","外","1319741Q1050","ケタス点眼液0.01%","イブジラスト液","0.5mg5mL1瓶","杏林=千寿=武田","560.80","621.00","先発品","","","112303601","620006416","1","なし","1319741Q1050","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(メディエーター遊離抑制薬)","イブジラスト","-"
"1962","外","1319742Q1039","クラビット点眼液0.5%","レボフロキサシン水和物液","0.5%1mL","参天","42.60","59.20","先発○","処","","112304301","620004798","2","あり","1319742Q1039","感覚器官用薬－眼科用剤－その他","点眼剤(抗菌薬)-ニューキノロン系","レボフロキサシン水和物","-"
"1963","外","1319742Q2019","レボフロキサシン点眼液1.5%「わかもと」","レボフロキサシン1.5%1mL点眼液","1.5%1mL","わかもと","19.10","18.50","後発品","処","","123429901","622342901","3","あり","1319742Q2205","感覚器官用薬－眼科用剤－その他","点眼剤(抗菌薬)-ニューキノロン系","レボフロキサシン水和物","-"
"1964","外","1319745Q1024","ゼペリン点眼液0.1%","アシタザノラスト水和物液","5mg5mL1瓶","わかもと=興和","414.90","479.20","先発品","","","113645601","660443014","1","なし","1319745Q1024","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(メディエーター遊離抑制薬)","アシタザノラスト水和物","-"
"1965","外","1319748Q1036","エイゾプト懸濁性点眼液1%","ブリンゾラミド液","1%1mL","ノバルティス","132.30","170.30","先発○","処","","115113802","620005257","2","あり","1319748Q1036","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬)","ブリンゾラミド","-"
"1966","外","1319749Q1030","ガチフロ点眼液0.3%","ガチフロキサシン水和物液","0.3%1mL","千寿=武田","69.40","71.50","先発品","処","","116566101","620008984","1","なし","1319749Q1030","感覚器官用薬－眼科用剤－その他","点眼剤(抗菌薬)-ニューキノロン系","ガチフロキサシン水和物","-"
"1967","外","1319752Q1067","オロパタジン点眼液0.1%「サンド」","オロパタジン塩酸塩液","0.1%1mL","サンド","31.40","34.90","後発品","","","128790501","622879001","3","あり","1319752Q1067","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(第2世代抗ヒスタミン薬)","オロパタジン塩酸塩","-"
"1968","外","1319753Q1029","ベガモックス点眼液0.5%","モキシフロキサシン塩酸塩液","0.5%1mL","ノバルティス","50.30","58.40","先発○","処","","117679702","620004368","2","あり","1319753Q1029","感覚器官用薬－眼科用剤－その他","点眼剤(抗菌薬)-ニューキノロン系","モキシフロキサシン塩酸塩","-"
"1969","外","1319754Q1023","トラバタンズ点眼液0.004%","トラボプロスト液","0.004%1mL","ノバルティス","305.10","389.80","先発○","処","","118185202","620005833","2","あり","1319754Q1023","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(プロスタグランジン系)","トラボプロスト","-"
"1970","外","1319755Q1028","タリムス点眼液0.1%","タクロリムス水和物液","0.1%5mL1瓶","千寿=武田","8197.30","8303.50","先発品","劇処","","118290301","620006790","1","なし","1319755Q1028","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(免疫抑制薬)","タクロリムス水和物","-"
"1971","外","1319756Q1022","タプロス点眼液0.0015%","タフルプロスト液","0.0015%1mL","参天","458.90","541.70","先発○","劇処","","118929201","620008568","2","あり","1319756Q1022","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(プロスタグランジン系)","タフルプロスト","-"
"1972","外","1319756Q2029","タプロスミニ点眼液0.0015%","タフルプロスト液","0.0015%0.3mL1個","参天","50.80","54.60","先発品","劇処","","122482501","622248201","1","なし","1319756Q2029","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(プロスタグランジン系)","タフルプロスト","-"
"1973","外","1319757Q1027","ルミガン点眼液0.03%","ビマトプロスト液","0.03%1mL","千寿=武田","315.10","485.00","先発○","処","","119331201","621933101","2","あり","1319757Q1027","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(プロスタグランジン系)","ビマトプロスト","-"
"1974","外","1319759Q1026","ネバナック懸濁性点眼液0.1%","ネパフェナク液","0.1%1mL","ノバルティス","80.20","118.80","先発品","処","","120385102","622038501","1","なし","1319759Q1026","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(フェニル酢酸系)","ネパフェナク","-"
"1975","外","1319760Q1029","ムコスタ点眼液UD2%","レバミピド液","2%0.35mL1本","大塚製薬","14.00","15.90","先発品","","","121049101","622104901","1","なし","1319760Q1029","感覚器官用薬－眼科用剤－その他","角膜治療薬(その他)","レバミピド","-"
"1976","外","1319760Q2025","レバミピド懸濁性点眼液2%「参天」","レバミピド液","2%5mL1瓶","参天","401.50","432.90","後発品","","","129453801","622945301","3","あり","1319760Q2025","感覚器官用薬－眼科用剤－その他","角膜治療薬(その他)","レバミピド","-"
"1977","外","1319761Q1031","ブリモニジン酒石酸塩点眼液0.1%「NIT」","ブリモニジン酒石酸塩液","0.1%1mL","東亜薬品=日東メディック","74.20","91.40","後発品","処","","128695301","622869501","3","あり","1319761Q1031","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(α2刺激薬)","ブリモニジン酒石酸塩","-"
"1978","外","1319762Q1028","アレジオン点眼液0.05%","エピナスチン塩酸塩液(1)","0.05%1mL","参天","168.30","200.20","先発○","","","122790101","622279001","2","あり","1319762Q1028","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(第2世代抗ヒスタミン薬)","エピナスチン塩酸塩","-"
"1979","外","1319762Q2024","アレジオンLX点眼液0.1%","エピナスチン塩酸塩液(2)","0.1%1mL","参天","465.30","493.00","先発○","","","126959801","622695901","2","あり","1319762Q2024","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(第2世代抗ヒスタミン薬)","エピナスチン塩酸塩","-"
"1980","外","1319763Q1022","グラナテック点眼液0.4%","リパスジル塩酸塩水和物液","0.4%1mL","興和","449.40","449.40","先発品","処","","123746701","622374601","1","なし","1319763Q1022","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(Rhoキナーゼ阻害薬)","リパスジル塩酸塩水和物","-"
"1981","外","1319807M1025","ネオメドロールEE軟膏","フラジオマイシン硫酸塩・メチルプレドニゾロン軟膏","1g","ファイザー","35.70","41.00","","処","","102263603","661310099","","なし","1319807M1025","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(ステロイド剤),点眼剤(抗菌薬)-アミノグリコシド系","フラジオマイシン硫酸塩・メチルプレドニゾロン","-"
"1982","外","1319808Q2036","人工涙液マイティア点眼液","ホウ酸・無機塩類配合剤液","5mL1瓶","千寿=武田","94.80","89.90","","","","102264301","620004806","","なし","1319808Q2036","感覚器官用薬－眼科用剤－その他","人工涙液","ホウ酸・無機塩類配合剤","-"
"1983","外","1319810Q1053","ミドリンP点眼液","トロピカミド・フェニレフリン塩酸塩液","1mL","参天","35.90","27.60","","","","102268101","620003872","","なし","1319810Q1053","感覚器官用薬－眼科用剤－その他","散瞳薬(その他)","トロピカミド・フェニレフリン塩酸塩","-"
"1984","外","1319810Q1061","サンドールP点眼液","トロピカミド・フェニレフリン塩酸塩液","1mL","ロートニッテン","27.60","27.60","後発品","","","102269801","620006431","3","なし","1319810Q1061","感覚器官用薬－眼科用剤－その他","散瞳薬(その他)","トロピカミド・フェニレフリン塩酸塩","-"
"1985","外","1319812M1026","眼・耳科用リンデロンA軟膏","ベタメタゾンリン酸エステルナトリウム・フラジオマイシン硫酸塩軟膏","1g","シオノギファーマ=塩野義","67.70","67.70","","処","","102272801","661310157","","なし","1319812M1026","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(ステロイド剤),点眼剤(抗菌薬)-アミノグリコシド系,耳鼻科用薬(ステロイド薬),耳鼻科用薬(抗菌薬)-アミノグリコシド系","ベタメタゾンリン酸エステルナトリウム・フラジオマイシン硫酸塩","-"
"1986","外","1319813Q1049","点眼・点鼻用リンデロンA液","ベタメタゾンリン酸エステルナトリウム・フラジオマイシン硫酸塩液","1mL","シオノギファーマ=塩野義","78.20","78.20","","処","","102273501","620002624","","なし","1319813Q1049","感覚器官用薬－眼科用剤－その他","抗炎症性点眼剤(ステロイド剤),点眼剤(抗菌薬)-アミノグリコシド系,耳鼻科用薬(ステロイド薬),耳鼻科用薬(抗菌薬)-アミノグリコシド系","ベタメタゾンリン酸エステルナトリウム・フラジオマイシン硫酸塩","-"
"1987","外","1319817Q1020","ザラカム配合点眼液","ラタノプロスト・チモロールマレイン酸塩液","1mL","ヴィアトリス","468.00","576.20","先発○","処","","119742602","621974201","2","あり","1319817Q1020","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(プロスタグランジン系),緑内障治療薬-点眼剤(プロスタグランジン・β遮断薬配合薬)","ラタノプロスト・チモロールマレイン酸塩","-"
"1988","外","1319819Q1020","コソプト配合点眼液","ドルゾラミド塩酸塩・チモロールマレイン酸塩液","1mL","参天","221.00","326.00","先発○","処","","119848501","621984801","2","あり","1319819Q1020","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬),緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬・非選択性β遮断薬配合薬)","ドルゾラミド塩酸塩・チモロールマレイン酸塩","-"
"1989","外","1319820Q1022","デュオトラバ配合点眼液","トラボプロスト・チモロールマレイン酸塩液","1mL","ノバルティス","441.00","572.50","先発○","処","","119850802","621985001","2","あり","1319820Q1022","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(プロスタグランジン系),緑内障治療薬-点眼剤(プロスタグランジン・β遮断薬配合薬)","トラボプロスト・チモロールマレイン酸塩","-"
"1990","外","1319821Q1027","アゾルガ配合懸濁性点眼液","ブリンゾラミド・チモロールマレイン酸塩液","1mL","ノバルティス","207.10","247.10","先発品","処","","122788802","622278801","1","なし","1319821Q1027","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬),緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬・非選択性β遮断薬配合薬)","ブリンゾラミド・チモロールマレイン酸塩","-"
"1991","外","1319822Q1021","タプコム配合点眼液","タフルプロスト・チモロールマレイン酸塩液","1mL","参天","519.60","630.50","先発○","劇処","","122791801","622279101","2","あり","1319822Q1021","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(プロスタグランジン系),緑内障治療薬-点眼剤(プロスタグランジン・β遮断薬配合薬)","タフルプロスト・チモロールマレイン酸塩","-"
"1992","外","1319823Q1026","ミケルナ配合点眼液","カルテオロール塩酸塩・ラタノプロスト液","1mL","大塚製薬","538.50","552.20","先発品","処","","125099201","622509901","1","なし","1319823Q1026","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(プロスタグランジン系),緑内障治療薬-点眼剤(プロスタグランジン・β遮断薬配合薬)","カルテオロール塩酸塩・ラタノプロスト","-"
"1993","外","1319824Q1020","アイベータ配合点眼液","ブリモニジン酒石酸塩・チモロールマレイン酸塩液","1mL","千寿=武田","363.10","386.50","先発品","処","","126980201","622698001","1","なし","1319824Q1020","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(非選択性β遮断薬),緑内障治療薬-点眼剤(α2刺激薬),緑内障治療薬-点眼剤(α2刺激薬・非選択性β遮断薬配合薬)","ブリモニジン酒石酸塩・チモロールマレイン酸塩","-"
"1994","外","1319825Q1025","アイラミド配合懸濁性点眼液","ブリモニジン酒石酸塩・ブリンゾラミド液","1mL","千寿=武田","363.80","378.40","先発品","処","","127951101","622795101","1","なし","1319825Q1025","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(α2刺激薬),緑内障治療薬-点眼剤(炭酸脱水酵素阻害薬),緑内障治療薬-点眼剤(α2刺激薬・炭酸脱水酵素阻害薬配合薬)","ブリモニジン酒石酸塩・ブリンゾラミド","-"
"1995","外","1319826Q1020","グラアルファ配合点眼液","リパスジル塩酸塩水和物・ブリモニジン酒石酸塩液","1mL","興和","497.40","505.40","先発品","処","","129277001","622927701","1","なし","1319826Q1020","感覚器官用薬－眼科用剤－その他","緑内障治療薬-点眼剤(α2刺激薬・Rhoキナーゼ阻害薬配合薬)","リパスジル塩酸塩水和物・ブリモニジン酒石酸塩","-"
"1996","外","1324704Q1033","プリビナ液0.05%","ナファゾリン硝酸塩液","0.05%1mL","日新製薬","3.90","4.00","","","","102284103","620004822","","なし","1324704Q1033","感覚器官用薬－耳鼻科用剤－耳鼻科用血管収縮剤","耳鼻科用薬(α1刺激性血管収縮薬)","ナファゾリン硝酸塩","-"
"1997","外","1325702Q1040","ベストロン耳鼻科用1%","セフメノキシム塩酸塩液","10mg1mL(溶解後の液として)","千寿=セオリア=武田=杏林","92.70","92.70","先発品","処","","102286501","620006516","","なし","1325702Q1040","感覚器官用薬－耳鼻科用剤－耳鼻科用抗生物質製剤","耳鼻科用薬(抗菌薬)-セフェム系","セフメノキシム塩酸塩","-"
"1998","外","1329701Q1036","ジオクチルソジウムスルホサクシネート耳科用液5%「CEO」","ジオクチルソジウムスルホサクシネート液","5%1mL","セオリア=武田","37.60","39.70","後発品","","","124403801","622440301","3","あり","1329701Q1036","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(耳垢除去薬)","ジオクチルソジウムスルホサクシネート","-"
"1999","外","1329702R7034","ベクロメタゾン鼻用パウダー25μg「トーワ」","ベクロメタゾンプロピオン酸エステル噴霧剤","1.50mg0.9087g1瓶","東和薬品","475.10","489.80","後発品","処","","118789201","620008269","3","あり","1329702R7034","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(ステロイド薬)","ベクロメタゾンプロピオン酸エステル","2027/05"
"2000","外","1329706Q1039","タリビッド耳科用液0.3%","オフロキサシン液","3mg1mL","アルフレッサファーマ","111.20","111.20","先発品","処","","102328203","620007669","","なし","1329706Q1039","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(抗菌薬)-ニューキノロン系","オフロキサシン","-"
"2001","外","1329710Q1035","モメタゾン点鼻液50μg「杏林」56噴霧用","モメタゾンフランカルボン酸エステル水和物液","5mg10g1瓶","キョーリンリメディオ=杏林","361.20","418.00","後発品","","","126725901","622672501","3","あり","1329710Q1035","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(ステロイド薬)","モメタゾンフランカルボン酸エステル水和物","-"
"2002","外","1329712A1028","エリザスカプセル外用400μg","デキサメタゾンシペシル酸エステル噴霧剤","400μg1カプセル","日本新薬","50.50","58.20","先発品","処","","119542201","621954201","1","なし","1329712A1028","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(ステロイド薬)","デキサメタゾンシペシル酸エステル","-"
"2003","外","1329712R1021","エリザス点鼻粉末200μg28噴霧用","デキサメタゾンシペシル酸エステル噴霧剤","5.6mg1瓶","日本新薬","662.30","799.80","先発品","処","","121516801","622151601","1","なし","1329712R1021","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(ステロイド薬)","デキサメタゾンシペシル酸エステル","-"
"2004","外","1329800X1034","コールタイジン点鼻液","塩酸テトラヒドロゾリン・プレドニゾロン液","1mL","陽進堂","7.30","7.50","","","","102331202","620007639","","なし","1329800X1034","感覚器官用薬－耳鼻科用剤－その他","耳鼻科用薬(ステロイド薬),耳鼻科用薬(α1刺激性血管収縮薬)","塩酸テトラヒドロゾリン・プレドニゾロン","-"
"2005","外","2149700S1027","ビソノテープ4mg","ビソプロロール貼付剤","4mg1枚","トーアエイヨー","55.20","57.00","先発品","処","","122641602","622264101","1","なし","2149700S1027","循環器官用薬－血圧降下剤－その他","血圧降下薬-経皮吸収(β遮断薬),不整脈用薬-経皮吸収(β1遮断薬)","ビソプロロール","-"
"2006","外","2149700S2023","ビソノテープ8mg","ビソプロロール貼付剤","8mg1枚","トーアエイヨー","72.40","75.00","先発品","処","","122642302","622264201","1","なし","2149700S2023","循環器官用薬－血圧降下剤－その他","血圧降下薬-経皮吸収(β遮断薬),不整脈用薬-経皮吸収(β1遮断薬)","ビソプロロール","-"
"2007","外","2149700S3020","ビソノテープ2mg","ビソプロロール貼付剤","2mg1枚","トーアエイヨー","40.20","41.50","先発品","処","","126694802","622669401","1","なし","2149700S3020","循環器官用薬－血圧降下剤－その他","不整脈用薬-経皮吸収(β1遮断薬)","ビソプロロール","-"
"2008","外","2160700Q1027","イミグラン点鼻液20","スマトリプタン液","20mg0.1mL1個","GSK","452.50","466.10","先発品","劇処","","115174901","660470003","1","なし","2160700Q1027","循環器官用薬－血管収縮剤－その他","頭痛薬-点鼻(5HT1受容体作動薬)","スマトリプタン","-"
"2009","外","2171700S1095","フランドルテープ40mg","硝酸イソソルビド貼付剤","40mg1枚","トーアエイヨー","32.20","38.40","先発○","処","","103341002","620004821","2","あり","2171700S1095","循環器官用薬－血管拡張剤－冠血管拡張剤","狭心症治療薬-経皮吸収(硝酸エステル系)","硝酸イソソルビド","-"
"2010","外","2171701R4038","ミオコールスプレー0.3mg","ニトログリセリン噴霧剤","0.65%7.2g1缶","トーアエイヨー","1028.70","1053.20","先発品","劇処","","103353302","620004829","1","なし","2171701R4038","循環器官用薬－血管拡張剤－冠血管拡張剤","狭心症治療薬-吸入・噴霧(硝酸エステル系)","ニトログリセリン","-"
"2011","外","2234700G1019","ブロムヘキシン塩酸塩吸入液0.2%「タイヨー」","ブロムヘキシン塩酸塩0.2%吸入液","0.2%1mL","T'sファーマ=武田","5.30","5.60","後発品","","","103891002","620006512","3","あり","2234700G1043","呼吸器官用薬－去たん剤－ブロムへキシン製剤","去痰薬-吸入(気道分泌増加薬)","ブロムヘキシン塩酸塩","-"
"2012","外","2254700G4037","サルタノールインヘラー100μg","サルブタモール硫酸塩吸入剤","0.16%13.5mL1瓶","GSK","437.90","454.50","先発品","処","","104037101","620008998","1","なし","2254700G4037","呼吸器官用薬－気管支拡張剤－サルブタモール製剤","気管支喘息用薬-吸入(β2刺激薬),気管支拡張薬-吸入(β2刺激薬)","サルブタモール硫酸塩","-"
"2013","外","2259702G2021","アトロベントエロゾル20μg","イプラトロピウム臭化物水和物吸入剤","4.20mg10mL1瓶","帝人ファーマ","531.20","581.10","先発品","処","","114983801","660463003","1","なし","2259702G2021","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(抗コリン薬),気管支拡張薬-吸入(抗コリン薬)","イプラトロピウム臭化物水和物","-"
"2014","外","2259703G9020","キュバール50エアゾール","ベクロメタゾンプロピオン酸エステル吸入剤","7mg8.7g1瓶","住友ファーマ","1154.20","1354.40","先発品","処","","114606601","660462001","1","なし","2259703G9020","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(ステロイド)","ベクロメタゾンプロピオン酸エステル","-"
"2015","外","2259703Y1025","キュバール100エアゾール","ベクロメタゾンプロピオン酸エステル吸入剤","15mg8.7g1瓶","住友ファーマ","1485.40","1732.20","先発品","処","","114607301","660462002","1","なし","2259703Y1025","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(ステロイド)","ベクロメタゾンプロピオン酸エステル","-"
"2016","外","2259704G1032","メプチン吸入液0.01%","プロカテロール塩酸塩水和物吸入剤","0.01%1mL","大塚製薬","26.10","26.10","先発品","処","","104113201","620004835","","なし","2259704G1032","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(β2刺激薬),気管支拡張薬-吸入(β2刺激薬)","プロカテロール塩酸塩水和物","-"
"2017","外","2259704G5020","メプチン吸入液ユニット0.3mL","プロカテロール塩酸塩水和物吸入剤","0.01%0.3mL1個","大塚製薬","25.00","25.00","先発品","処","","114732201","660463035","","なし","2259704G5020","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(β2刺激薬),気管支拡張薬-吸入(β2刺激薬)","プロカテロール塩酸塩水和物","-"
"2018","外","2259704G9033","メプチンエアー10μg吸入100回","プロカテロール塩酸塩水和物吸入剤","0.0143%5mL1キット","大塚製薬","1128.60","1060.90","先発品","処","","119032801","621903202","","なし","2259704G9033","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(β2刺激薬),気管支拡張薬-吸入(β2刺激薬)","プロカテロール塩酸塩水和物","-"
"2019","外","2259707S2213","ツロブテロールテープ1mg「久光」","ツロブテロール貼付剤","1mg1枚","久光","16.30","18.80","後発品","処","","117204101","621720401","3","あり","2259707S2213","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-経皮吸収剤(β2刺激薬),気管支拡張薬-経皮吸収(β2刺激薬)","ツロブテロール","-"
"2020","外","2259708G3025","セレベント50ディスカス","サルメテロールキシナホ酸塩吸入剤","50μg60ブリスター1キット","GSK","1521.10","1850.80","先発品","処","","116249301","620001944","1","なし","2259708G3025","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(β2刺激薬),気管支拡張薬-吸入(β2刺激薬)","サルメテロールキシナホ酸塩","-"
"2021","外","2259709G1027","スピリーバ吸入用カプセル18μg","チオトロピウム臭化物水和物カプセル","18μg1カプセル","日本ベーリンガー","96.60","99.60","先発品","処","","116579101","620002421","1","なし","2259709G1027","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(抗コリン薬),気管支拡張薬-吸入(抗コリン薬)","チオトロピウム臭化物水和物","-"
"2022","外","2259709G2023","スピリーバ2.5μgレスピマット60吸入","チオトロピウム臭化物水和物吸入剤","150μg1キット","日本ベーリンガー","2997.00","3100.90","先発品","処","","119842301","621984201","1","なし","2259709G2023","呼吸器官用薬－気管支拡張剤－その他","気管支喘息用薬-吸入(抗コリン薬),気管支拡張薬-吸入(抗コリン薬)","チオトロピウム臭化物水和物","-"
"2023","外","2259711G1024","オーキシス9μgタービュヘイラー28吸入","ホルモテロールフマル酸塩水和物吸入剤","252μg1キット(9μg)","アストラゼネカ=MeijiSeika","881.80","1058.90","先発品","処","","121809101","622180901","1","なし","2259711G1024","呼吸器官用薬－気管支拡張剤－その他","気管支拡張薬-吸入(β2刺激薬)","ホルモテロールフマル酸塩水和物","-"
